text,date
"Program makan siang gratis ini sangat membantu anak sekolah, terimakasih pemerintah!",2024-06-01
"Menurut saya program ini kurang tepat sasaran dananya lebih baik dipakai untuk guru.",2024-06-02
"Wah mantap sekali, anak-anak jadi semangat sekolah karena dapat makan gratis.",2024-06-03
"Kenapa hanya di sekolah negeri saja? seharusnya semua anak Indonesia dapat!",2024-06-04
"Saya setuju program ini, bisa mengurangi beban orang tua miskin.",2024-06-05
"Program ini hanya pencitraan politik, buang-buang anggaran saja.",2024-06-06
"Gratis makan siang bikin anak-anak senang, semoga berlanjut terus.",2024-06-07
"Kurang bagus pelaksanaannya, banyak sekolah yang tidak kebagian.",2024-06-08
"Saya rasa netral saja, ada baiknya ada buruknya juga.",2024-06-09
"Luar biasa! ide yang sangat positif untuk masa depan generasi muda.",2024-06-10